pincode,address,address from api,districtname,statename,lat,lon
509210,"509210,TELANGANA,India","Narayanpet, - 509210, Telangana, India",Mahabub Nagar,TELANGANA,16.7762631,77.6530924
509382,"509382,TELANGANA,India","Wanaparthy, - 509382, Telangana, India",Mahabub Nagar,TELANGANA,16.6048613,78.0584505
509002,"509002,TELANGANA,India","Mahabubnagar, - 509002, Telangana, India",Mahabub Nagar,TELANGANA,16.6908261,78.0652623
509352,"509352,TELANGANA,India","Ward 59 Mailardevpally, Hyderabad - 500052, Telangana, India",Mahabub Nagar,TELANGANA,16.4466,77.3383
509152,"509152,TELANGANA,India","Jogulamba Gadwal, - 509152, Telangana, India",Mahabub Nagar,TELANGANA,15.8749094,78.1323819
509132,"509132,TELANGANA,India","Wanaparthy, - 509132, Telangana, India",Mahabub Nagar,TELANGANA,16.371363,77.7260598
509133,"509133,NULL,India","Zone 1, Mumbai - 400039, Maharashtra, India",NULL,NULL,16.4204,77.6893
509130,"509130,TELANGANA,India","Narayanpet, - 509130, Telangana, India",Mahabub Nagar,TELANGANA,16.4465625,77.7310154
509340,"509340,TELANGANA,India","Mahabubnagar, - 509340, Telangana, India",Mahabub Nagar,TELANGANA,16.8613887,78.0679354
509336,"509336,TELANGANA,India","Narayanpet, - 509336, Telangana, India",Mahabub Nagar,TELANGANA,16.8398853,77.7195641
509371,"509371,TELANGANA,India","Mahabubnagar, - 509371, Telangana, India",Mahabub Nagar,TELANGANA,16.806331,77.7898022
509407,"509407,TELANGANA,India","Narayanpet, - 509407, Telangana, India",Mahabub Nagar,TELANGANA,16.8603812,77.5020365
509335,"509335,TELANGANA,India","Vikarabad, Venkatapur - 509335, Telangana, India",Mahabub Nagar,TELANGANA,16.9642032,77.9634596
509208,"509208,TELANGANA,India","Narayanpet, - 509208, Telangana, India",Mahabub Nagar,TELANGANA,16.5220882,77.6102705
509131,"509131,TELANGANA,India","Wanaparthy, - 509131, Telangana, India",Mahabub Nagar,TELANGANA,16.3703369,77.8062197
509338,"509338,TELANGANA,India","Vikarabad, - 509338, Telangana, India",Mahabub Nagar,TELANGANA,17.1022008,77.6940318
509409,"509409,TELANGANA,India","Ward 59 Mailardevpally, Hyderabad - 500052, Telangana, India",Mahabub Nagar,TELANGANA,16.5771,77.7771
509204,"509204,TELANGANA,India","Mahabubnagar, - 509204, Telangana, India",Mahabub Nagar,TELANGANA,16.6699836,78.0662071
509339,"509339,TELANGANA,India","Vikarabad, Dadapur - 509339, Telangana, India",Mahabub Nagar,TELANGANA,17.0210425,77.7930099
509411,"509411,TELANGANA,India","Narayanpet, - 509411, Telangana, India",Mahabub Nagar,TELANGANA,16.848329,77.6442364
509353,"509353,TELANGANA,India","Ward 59 Mailardevpally, Hyderabad - 500052, Telangana, India",Mahabub Nagar,TELANGANA,17.312,77.8749
509205,"509205,TELANGANA,India","Mahabubnagar, - 509205, Telangana, India",Mahabub Nagar,TELANGANA,16.6659616,77.8462827
509127,"509127,TELANGANA,India","Jogulamba Gadwal, - 509127, Telangana, India",Mahabub Nagar,TELANGANA,16.0035874,77.6253395
509128,"509128,TELANGANA,India","Jogulamba Gadwal, - 509128, Telangana, India",Mahabub Nagar,TELANGANA,15.9803985,77.946812
509129,"509129,TELANGANA,India","Jogulamba Gadwal, - 509129, Telangana, India",Mahabub Nagar,TELANGANA,16.1237219,77.5436861
509334,"509334,TELANGANA,India","Mahabubnagar, - 509334, Telangana, India",Mahabub Nagar,TELANGANA,16.8214692,77.9143998
509126,"509126,TELANGANA,India","Jogulamba Gadwal, - 509126, Telangana, India",Mahabub Nagar,TELANGANA,16.0992965,77.7977754
509135,"509135,TELANGANA,India","Ward 59 Mailardevpally, Hyderabad - 500052, Telangana, India",Mahabub Nagar,TELANGANA,15.9869,77.724
509311,"509311,TELANGANA,India","Narayanpet, - 509311, Telangana, India",Mahabub Nagar,TELANGANA,16.6506727,77.5157465
509350,"509350,TELANGANA,India","Vikarabad, - 509350, Telangana, India",Mahabub Nagar,TELANGANA,17.0542559,77.6525544
509351,"509351,TELANGANA,India","Narayanpet, - 509351, Telangana, India",Mahabub Nagar,TELANGANA,16.64963,77.7302109
509125,"509125,TELANGANA,India","Jogulamba Gadwal, - 509125, Telangana, India",Mahabub Nagar,TELANGANA,16.1993153,77.7337779
509337,"509337,TELANGANA,India","Mahabubnagar, Gandeed - 509337, Telangana, India",Mahabub Nagar,TELANGANA,16.9207284,77.7962548
509380,"509380,TELANGANA,India","Nagarkurnool, - 509380, Telangana, India",Mahabub Nagar,TELANGANA,16.5181613,78.1355361
509219,"509219,TELANGANA,India","Mahabubnagar, - 509219, Telangana, India",Mahabub Nagar,TELANGANA,16.5250174,77.8570431
509001,"509001,TELANGANA,India","Mahabubnagar, Mahbubnagar - 509001, Telangana, India",Mahabub Nagar,TELANGANA,16.7508647,77.9938947
509153,"509153,TELANGANA,India","Wanaparthy, - 509153, Telangana, India",Mahabub Nagar,TELANGANA,16.279536,78.0993432
502278,"502278,TELANGANA,India","Medak, - 502278, Telangana, India",Medak,TELANGANA,17.9135298,78.5147875
502108,"502108,TELANGANA,India","Siddipet, - 502108, Telangana, India",Medak,TELANGANA,18.143187,78.6705568
502115,"502115,TELANGANA,India","Medak, - 502115, Telangana, India",Medak,TELANGANA,18.1108072,78.3988988
502311,"502311,TELANGANA,India","Siddipet, - 502311, Telangana, India",Medak,TELANGANA,17.8013237,78.7823282
502280,"502280,TELANGANA,India","Siddipet, - 502280, Telangana, India",Medak,TELANGANA,18.0508095,79.0651079
502281,"502281,TELANGANA,India","Siddipet, - 502281, Telangana, India",Medak,TELANGANA,17.8015404,78.7313628
502310,"502310,TELANGANA,India","Siddipet, - 502310, Telangana, India",Medak,TELANGANA,18.2094789,78.8997263
502247,"502247,TELANGANA,India","Medak, - 502247, Telangana, India",Medak,TELANGANA,17.8595759,78.3881636
502103,"502103,TELANGANA,India","Siddipet, Siddipet - 502103, Telangana, India",Medak,TELANGANA,18.0988122,78.841466
502109,"502109,TELANGANA,India","Medak, - 502109, Telangana, India",Medak,TELANGANA,17.942696,78.2845405
502267,"502267,TELANGANA,India","Siddipet, - 502267, Telangana, India",Medak,TELANGANA,18.1484834,78.9444568
502277,"502277,TELANGANA,India","Siddipet, - 502277, Telangana, India",Medak,TELANGANA,18.0348478,78.8735114
502114,"502114,TELANGANA,India","Siddipet, - 502114, Telangana, India",Medak,TELANGANA,17.9712024,78.6370699
502302,"502302,TELANGANA,India","Medak, - 502302, Telangana, India",Medak,TELANGANA,17.9808709,78.0381512
502113,"502113,TELANGANA,India","Medak, - 502113, Telangana, India",Medak,TELANGANA,18.1006907,78.2565767
502375,"502375,TELANGANA,India","Siddipet, - 502375, Telangana, India",Medak,TELANGANA,18.0828774,78.9518386
502117,"502117,TELANGANA,India","Medak, - 502117, Telangana, India",Medak,TELANGANA,18.0050802,78.3245185
502334,"502334,TELANGANA,India","Medak, - 502334, Telangana, India",Medak,TELANGANA,17.833537,78.4865131
502279,"502279,TELANGANA,India","Siddipet, - 502279, Telangana, India",Medak,TELANGANA,17.8815936,78.942126
502102,"502102,TELANGANA,India","Medak, - 502102, Telangana, India",Medak,TELANGANA,18.100499,78.4289672
502381,"502381,TELANGANA,India","Sangareddy, - 502381, Telangana, India",Medak,TELANGANA,17.5744229,78.0470819
502255,"502255,TELANGANA,India","Medak, - 502255, Telangana, India",Medak,TELANGANA,17.9457322,78.4337547
502276,"502276,TELANGANA,India","Siddipet, Chinna Kodur - 502276, Telangana, India",Medak,TELANGANA,18.1679692,78.9028005
502301,"502301,TELANGANA,India","Siddipet, - 502301, Telangana, India",Medak,TELANGANA,17.9044374,78.6976475
502107,"502107,TELANGANA,India","Siddipet, - 502107, Telangana, India",Medak,TELANGANA,18.14413,78.7386306
502130,"502130,TELANGANA,India","Medak, - 502130, Telangana, India",Medak,TELANGANA,18.0801381,78.2070693
502248,"502248,TELANGANA,India","Medak, - 502248, Telangana, India",Medak,TELANGANA,18.0235092,78.407651
502335,"502335,TELANGANA,India","Siddipet, - 502335, Telangana, India",Medak,TELANGANA,17.9510848,78.5745385
502336,"502336,TELANGANA,India","Medak, - 502336, Telangana, India",Medak,TELANGANA,17.7507578,78.5079477
502312,"502312,TELANGANA,India","Siddipet, - 502312, Telangana, India",Medak,TELANGANA,17.768361,78.6327526
